The Mind Gamebook -            :   Devika Das
Five Minutes -                         :   Dr. Prashant Nayak
Dusk Night Dawn -                 :    On Revival and Courage Anne Lamott
To Kill a Mockingbird-           :    Harper Lee
Code Complete -                    :    Steve McConnell
Programming Pearls-               :   Jon Bentley
Head First Python-                 :    A Brain-Friendly Guide Paul Barry
Python Tricks -                       :    The Book Dan Bader
Python in a Nutshell -            :    Alex Martellihekk
Vahana Masterclass	:Alfredo Covelli
India’s 71-Year Test: The Journey to Triumph in Australia	R. Kaushik
Right Under Our Nose	R. Giridharan
Making of a General-A Himalayan Echo	Lt. Gen. Konsam Himalay Singh
The Commonwealth of Cricket	Ramachandra Guha
Manohar Parrikar-Off the Record	Waman Subha Prabhu
The Little Book of Encouragement	Dalai Lama
Beautiful Things’ A Memoir	Hunter Biden 
By Many a Happy Accident: Recollections of a Life	Former Vice President Mohammad Hamid Ansari
Platform Scale: For A Post-Pandemic World	Sangeet Paul Choudary
Unfinished	Priyanka Chopra Jonas
The Terrible, Horrible, Very Bad Good News	Meghna Pant
ASOCA: A Sutra	Irwin Allan Sealy
Maverick Messiah: A Political Biography of N T Rama Rao	Ramesh Kandula
Rashtra Pratham - 82 Varshon ki Swarnim Gatha	Amit Shah
